epoch,train_accuracy,test_accuracy
1,0.6617954070981211,0.45436507936507936
2,0.6033402922755741,0.46825396825396826
3,0.6680584551148225,0.5912698412698413
4,0.6659707724425887,0.48214285714285715
5,0.6555323590814196,0.5714285714285714
6,0.6075156576200418,0.4226190476190476
7,0.592901878914405,0.4444444444444444
8,0.6471816283924844,0.5297619047619048
9,0.6096033402922756,0.4444444444444444
10,0.6283924843423799,0.44047619047619047
11,0.6346555323590815,0.4642857142857143
12,0.6388308977035491,0.4603174603174603
13,0.6346555323590815,0.42658730158730157
14,0.6409185803757829,0.49404761904761907
15,0.6221294363256785,0.40674603174603174
